aktion,variante,schritt_nr,akteur,schritt,ergebnis_status,karte,funktion,umsetzung,notiz
accept_booking_inquiry,standard,1,uli,Befehl annehmen,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
accept_booking_inquiry,standard,2,max,Zeigt die Anfrage-Details zur Bestaetigung,wartet_uli,null,Tool search_booking_inquiries (Anfrage suchen) -> Max zeigt Details im Chat,umgesetzt,null
accept_booking_inquiry,standard,3,uli,Bestaetigt,null,null,"Uli bestaetigt im Chat (Freigabe, Modell A)",umgesetzt,null
accept_booking_inquiry,standard,4,max,Legt die Buchung an,abgeschlossen,null,Tool accept_booking_inquiry,umgesetzt,null
check_upcoming_bookings,automatik,1,max,"4 Pruefungen (fehlende Reinigung/Waesche, Timing, offene Zahlung), meldet Uli",null,null,Tool check_upcoming_bookings / runUpcomingBookingsControl,umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,1,max,Findet bereits vorhandene Reinigung und meldet das,wartet_uli,null,"Tool create_cleaning_for_booking: Vorab-Pruefung in executeCreateCleaningForBooking (Abfrage service_tasks, service_type=cleaning, booking_id) -> liefert bereits_vorhanden=true, legt KEINE zweite an",umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,2,max,Fragt: moechtest du sie aendern?,null,null,"System-Prompt Regel ""SONDERFALL: REINIGUNG EXISTIERT SCHON"" (chat-assistant)",umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,3,uli,Antwortet Ja,null,null,Uli antwortet im Chat (Freigabe),umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,4,max,"Zeigt Edit-Reinigungskarte, weiter wie Ablauf Reinigung aendern",null,Reinigungskarte (Edit-Dialog),buildEntityLinks -> Button (type=cleaning_task) -> ChatMessage.tsx oeffnet EditCleaningTaskDialog. Danach wie reschedule_cleaning. Zusaetzliche Reinigung nur mit force=true.,umgesetzt,null
create_cleaning_for_booking,standard,1,uli,Befehl: erstelle Reinigung fuer <Gast>,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
create_cleaning_for_booking,standard,2,max,Sucht Buchung(en) zum Gast,null,null,Tool search_bookings (Buchung zum Gast finden),umgesetzt,null
create_cleaning_for_booking,standard,3,max,"Mehrere Treffer: zeigt Buchungen (Gast, Haus, Zeitraum) zur Auswahl",wartet_uli,null,Max listet Treffer im Chat (Prompt-Regel: bei Mehrdeutigkeit IMMER nachfragen),umgesetzt,null
create_cleaning_for_booking,standard,4,uli,Waehlt die richtige Buchung,null,null,Uli waehlt im Chat,umgesetzt,null
create_cleaning_for_booking,standard,5,max,Legt Reinigung als Entwurf (draft) an und zeigt Button Reinigung oeffnen,wartet_uli,Reinigungskarte (Edit-Dialog),Tool create_cleaning_for_booking -> Edge Function create-cleaning-task-for-booking (Status draft),umgesetzt,Button fehlt in buildEntityLinks fuer create_cleaning_for_booking
create_cleaning_for_booking,standard,6,uli,"Oeffnet die Karte, prueft Details, setzt Geplant und speichert",null,Reinigungskarte (Edit-Dialog),"Uli oeffnet EditCleaningTaskDialog (Button), setzt Status auf scheduled, speichert",umgesetzt,null
create_cleaning_for_booking,standard,7,max,Meldet Erstellung abgeschlossen,abgeschlossen,null,"DB-Trigger trg_close_max_action_on_cleaning_scheduled (feuert bei draft->scheduled, setzt max_actions auf abgeschlossen)",umgesetzt,Abschluss-Rueckmeldung an Kette anbinden
create_linen_for_booking,standard,1,uli,Befehl: bestelle Waesche fuer <Gast>,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
create_linen_for_booking,standard,2,max,Sucht Buchung; mehrdeutig zeigt Auswahl,wartet_uli,null,Tool search_bookings (Buchung zum Gast finden),umgesetzt,null
create_linen_for_booking,standard,3,uli,Waehlt die Buchung,null,null,Uli waehlt im Chat,umgesetzt,null
create_linen_for_booking,standard,4,max,"Legt Bestellung als offen an (Menge nach Gaestezahl), zeigt Waesche-Karte",wartet_uli,Waesche-Karte (LinenOrderDialog),Tool create_linen_for_booking -> Edge Function create-linen-order-for-booking (Status offen). Button (type=laundry_order) oeffnet LinenOrderDialog. [Korrigiert 11.07.2026: ruft NICHT mehr auto-create-linen-orders],pruefen,Karten-Button im Chat pruefen (vermutlich gleiche Luecke)
create_linen_for_booking,standard,5,uli,"Prueft Artikel/Menge/Lieferdatum, setzt Ausstehend und speichert",null,Waesche-Karte (LinenOrderDialog),"Uli oeffnet LinenOrderDialog (Button), setzt Status auf ausstehend, speichert",umgesetzt,null
create_linen_for_booking,standard,6,max,Meldet abgeschlossen; danach Teuni informieren,abgeschlossen,null,"Tool send_provider_message (an Teuni, mit related_task_id). Prompt-Regel: Teuni MUSS informiert werden.",umgesetzt,null
get_morning_summary,automatik,1,max,Liefert die volle Tagesuebersicht,null,null,Tool get_morning_summary -> Edge Function morning-summary. Proaktiv: Cron morning-summary-daily (06:30) mit deliver=true -> send-guest-email. Schalter: morning_summary_settings.enabled (Einstellungskarte MaxMorningSummaryCard.tsx).,umgesetzt,"„Tool get_morning_summary → Edge Function morning-summary. Proaktive Zustellung per E-Mail täglich 06:30 (Cron morning-summary-daily), Schalter in Einstellungskarte."""
max_cleaning_reminders,automatik,1,max,Fragt Amela: Passt der Termin? (je Reinigung einmal),wartet_provider,null,Edge Function max-cleaning-reminders (Cron 07:00),umgesetzt,null
max_linen_reminders,automatik,1,max,"Erinnert Teuni, die Waesche vor der Reinigung zu liefern",wartet_provider,null,"Edge Function max-linen-reminders (Cron max-linen-reminders-daily, 07:30). STAND: max_linen_reminder_enabled=false -> laeuft leer. Vor Scharfschalten: Teuni persoenlich einfuehren.",vorbereitet,"„Edge Function max-linen-reminders. Cron max-linen-reminders-daily (07:30) angelegt. enabled = false → läuft leer. Vor dem Scharfschalten: Teuni persönlich einführen (wie bei Amela)."""
overdue_watch,automatik,1,system,Offene Workflows: due_at ueberschritten ohne Antwort -> Status ueberfaellig -> in Morgen-Uebersicht,ueberfaellig,null,"Edge Function overdue-watch (Cron overdue-watch-daily, 06:15). Sucht max_actions status=wartet_provider mit abgelaufenem due_at -> setzt ueberfaellig. Sichtbar: MaxActionsPanel.tsx (rotes Badge) + morning-summary (ganz oben).",umgesetzt,"„Edge Function overdue-watch (Cron overdue-watch-daily, 06:45). Setzt wartet_provider mit abgelaufenem due_at auf ueberfaellig. Erscheint in Morgen-Übersicht + Max-Aktionen-Fenster (rot)."""
reject_booking_inquiry,standard,1,uli,Befehl ablehnen,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
reject_booking_inquiry,standard,2,max,Zeigt die Anfrage zur Bestaetigung,wartet_uli,null,Tool search_booking_inquiries -> Max zeigt Details im Chat,umgesetzt,null
reject_booking_inquiry,standard,3,uli,Bestaetigt die Ablehnung,null,null,"Uli bestaetigt im Chat (Freigabe, Modell A)",umgesetzt,null
reject_booking_inquiry,standard,4,max,Sendet Absage,abgeschlossen,null,Tool reject_booking_inquiry,umgesetzt,null
reject_reschedule,standard,1,amela,Sendet Neuer Termin: <Datum>,wartet_uli,null,"Amela im Portal: fester Button ""Neuer Termin: TT.MM.JJJJ"" (PortalChat.tsx, Datepicker) -> provider_messages mit related_task_id",fehlt,null
reject_reschedule,standard,2,max,Zeigt Uli den Wunsch und fragt uebernehmen?,null,null,Tool read_provider_replies (liest Antwort mit Bezug ueber related_task_id),fehlt,null
reject_reschedule,standard,3,uli,Antwortet Nein / ablehnen,null,null,Uli antwortet im Chat (Freigabe verweigert),fehlt,null
reject_reschedule,standard,4,max,"Sendet Amela Termin kann leider nicht geaendert werden, setzt Reinigung zurueck",abgelehnt,null,Tool reject_reschedule -- MUSS GEBAUT WERDEN,fehlt,Tool/Flow existiert nicht
reschedule_cleaning,standard,1,uli,Aenderungswunsch (Uli direkt oder Amela via Portal),null,null,"Uli im Chat ODER Amela im Portal (fester Button ""Neuer Termin: TT.MM.JJJJ"", PortalChat.tsx)",umgesetzt,null
reschedule_cleaning,standard,2,max,Ordnet die Reinigung ueber related_task_id zu,wartet_uli,null,related_task_id in provider_messages (usePortalMessages.ts haengt sie automatisch an) -> Tool read_provider_replies,umgesetzt,null
reschedule_cleaning,standard,3,max,"Aendert auf neues Datum, Status draft",null,null,Tool reschedule_cleaning (Status draft) + DB-Trigger notify_amela_on_cleaning_release,umgesetzt,null
reschedule_cleaning,standard,4,max,Zeigt Button Reinigung oeffnen,null,Reinigungskarte (Edit-Dialog),buildEntityLinks -> Button (type=cleaning_task) -> ChatMessage.tsx oeffnet EditCleaningTaskDialog,umgesetzt,null
reschedule_cleaning,standard,5,uli,"Prueft in der Karte, setzt Geplant und speichert",null,Reinigungskarte (Edit-Dialog),"Uli in EditCleaningTaskDialog: Status draft -> scheduled, speichert",umgesetzt,null
reschedule_cleaning,standard,6,system,DB-Trigger informiert Amela nur bei echtem Wunsch; weicht Uli ab: konnte leider nicht geaendert werden,abgeschlossen,null,"DB-Trigger trg_notify_amela_on_cleaning_release (feuert bei draft->scheduled, nur wenn Amela via related_task_id gefragt hatte)",umgesetzt,Kette per appendWorkflowStep fortschreiben (offen)
update_linen_for_booking,standard,1,uli,Befehl (z.B. nach Gaestezahl-Aenderung),null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
update_linen_for_booking,standard,2,max,"Ersetzt bestehende Bestellung mit neuer Menge, zeigt Waesche-Karte",wartet_uli,Waesche-Karte (LinenOrderDialog),"Tool update_linen_for_booking -> Edge Function generate-booking-linen-order (ersetzt bestehende Bestellung, egal welcher Status). Button (type=laundry_order) oeffnet LinenOrderDialog.",pruefen,null
update_linen_for_booking,standard,3,uli,Prueft und speichert,null,Waesche-Karte (LinenOrderDialog),"Uli in LinenOrderDialog: prueft Menge/Datum, speichert",umgesetzt,null
update_linen_for_booking,standard,4,max,Meldet abgeschlossen; Teuni informieren,abgeschlossen,null,"Tool send_provider_message (an Teuni, mit related_task_id). Prompt-Regel: Teuni MUSS die Aenderung sehen.",umgesetzt,null